mesh_id,mondo_id,mondo_label
D018266,MONDO_0006962,sebaceous adenocarcinoma
D018280,MONDO_0006973,skin appendage carcinoma
D018228,MONDO_0006974,small cell sarcoma
D014067,MONDO_0006998,tonsil cancer
D006528,MONDO_0007256,hepatocellular carcinoma
C537946,MONDO_0007300,cerebral sarcoma
D007948,MONDO_0007896,acute monocytic leukemia
C536911,MONDO_0007958,familial medullary thyroid carcinoma
D055653,MONDO_0008018,Muir-Torre syndrome
C563551,MONDO_0008040,transient myeloproliferative syndrome
D018814,MONDO_0008082,multiple endocrine neoplasia type 2B
D010051,MONDO_0008170,ovarian cancer
D010145,MONDO_0008177,extramammary Paget disease
D018813,MONDO_0008234,multiple endocrine neoplasia type 2A
D011471,MONDO_0008315,prostate cancer
D012175,MONDO_0008380,retinoblastoma
D055752,MONDO_0008433,small cell lung carcinoma
C572845,MONDO_0008566,"thyroid cancer, nonmedullary, 2"
D014516,MONDO_0008627,ureter cancer
C565972,MONDO_0008734,"adrenocortical carcinoma, hereditary"
D002813,MONDO_0008977,chondrosarcoma
D009182,MONDO_0009691,mycosis fungoides
D055728,MONDO_0009692,primary myelofibrosis
D009101,MONDO_0009693,plasma cell myeloma
D012516,MONDO_0009807,osteosarcoma
D011087,MONDO_0009891,acquired polycythemia vera
D018232,MONDO_0009994,alveolar rhabdomyosarcoma
C535575,MONDO_0010150,head and neck squamous cell carcinoma
D013584,MONDO_0010434,synovial sarcoma
D018238,MONDO_0010768,gonadoblastoma
C537516,MONDO_0011014,pleuropulmonary blastoma
C566646,MONDO_0011121,pheochromocytoma/paraganglioma syndrome 2
C565310,MONDO_0011578,familial papillary thyroid carcinoma with renal papillary neoplasia
D018234,MONDO_0011655,alveolar soft part sarcoma
D054429,MONDO_0011908,juvenile myelomonocytic leukemia
D018223,MONDO_0011934,dermatofibrosarcoma protuberans
D055847,MONDO_0012249,Lynch syndrome 2
C563738,MONDO_0012252,rhabdoid tumor predisposition syndrome 1
D012512,MONDO_0012817,Ewing sarcoma
C563195,MONDO_0012825,extraskeletal myxoid chondrosarcoma
D015473,MONDO_0012883,acute promyelocytic leukemia
C567685,MONDO_0013196,Lynch syndrome 8
C567643,MONDO_0013224,rhabdoid tumor predisposition syndrome 2
D018208,MONDO_0013280,myxoid liposarcoma
C566039,MONDO_0013695,"colorectal cancer, hereditary nonpolyposis, type 6"
C535837,MONDO_0015278,familial pancreatic carcinoma
C538339,MONDO_0015459,nasopharyngeal carcinoma
D018323,MONDO_0015523,epithelioid hemangioendothelioma
C562840,MONDO_0016419,hereditary breast carcinoma
D018316,MONDO_0016681,gliosarcoma
D009837,MONDO_0016695,oligodendroglioma
C562943,MONDO_0016718,choroid plexus carcinoma
D006394,MONDO_0016982,angiosarcoma
C566775,MONDO_0017790,gastric adenocarcinoma and proximal polyposis of the stomach
D012751,MONDO_0017844,Sezary syndrome
D004915,MONDO_0017858,acute erythroid leukemia
D005909,MONDO_0018177,glioblastoma
D008039,MONDO_0018184,gastric linitis plastica
C538090,MONDO_0018364,malignant epithelial tumor of ovary
D018197,MONDO_0018666,hepatoblastoma
D007947,MONDO_0018872,acute megakaryoblastic leukemia
D015470,MONDO_0018874,acute myeloid leukemia
D012515,MONDO_0019024,mast cell sarcoma
D018281,MONDO_0019087,cholangiocarcinoma
D058405,MONDO_0019373,desmoplastic small round cell tumor
D015467,MONDO_0019451,chronic neutrophilic leukemia
D015471,MONDO_0019458,acute basophilic leukemia
C537503,MONDO_0019475,subcutaneous panniculitis-like T-cell lymphoma
D054752,MONDO_0019480,Langerhans cell sarcoma
D015477,MONDO_0020311,chronic myelomonocytic leukemia
D015456,MONDO_0020322,acute biphenotypic leukemia
D001913,MONDO_0020761,Bowen disease of the skin
D002280,MONDO_0020804,basal cell carcinoma
D004701,MONDO_0021069,malignant endocrine neoplasm
C538230,MONDO_0021659,combined carcinoid and adenocarcinoma
C536848,MONDO_0023119,familial myelofibrosis
D062688,MONDO_0027026,Buschke Lowenstein tumor
D018290,MONDO_0042487,uterine cervix carcinoma in situ
C537243,MONDO_0700275,"prostate cancer, hereditary"
